typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20200101,2020,52,2020,156,CHN,China,X,Export,380,ITA,Italy,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,414827687.0,414827687.0,4,False,True
C,A,20210101,2021,52,2021,156,CHN,China,X,Export,380,ITA,Italy,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,,1287061393.0,1287061393.0,0,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,380,ITA,Italy,0,W00,World,H6,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,2141301481.0,2141301481.0,4,False,True
C,A,20230101,2023,52,2023,156,CHN,China,X,Export,380,ITA,Italy,0,W00,World,H6,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,1489487790.0,1489487790.0,4,False,True
C,A,20140101,2014,52,2014,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,940170382.0,940170382.0,0,True,False
C,A,20150101,2015,52,2015,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,802303904.0,802303904.0,0,False,True
C,A,20160101,2016,52,2016,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,643482407.0,643482407.0,4,False,True
C,A,20170101,2017,52,2017,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,632081858.0,632081858.0,0,False,True
C,A,20180101,2018,52,2018,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,777814895.0,777814895.0,4,False,True
C,A,20190101,2019,52,2019,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,719319358.0,719319358.0,4,False,True
C,A,20200101,2020,52,2020,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,764115498.0,764115498.0,0,False,True
C,A,20210101,2021,52,2021,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,,1454626598.0,1454626598.0,0,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H6,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,1940751601.0,1940751601.0,4,False,True
C,A,20230101,2023,52,2023,156,CHN,China,X,Export,784,ARE,United Arab Emirates,0,W00,World,H6,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,2418921119.0,2418921119.0,4,False,True
