NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H6,356,2022,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2022,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H6,356,2022,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2022,010221,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2022,010229,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2022,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2022,010310,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010391,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010392,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010410,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2022,010420,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010612,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010613,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010614,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2022,010619,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
