NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H6,356,2023,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2023,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H6,356,2023,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2023,010221,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2023,010229,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2023,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2023,010310,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010391,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010392,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010410,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2023,010420,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010612,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010613,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010614,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010619,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010620,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010631,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010632,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010633,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010639,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,010641,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2023,010649,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H6,356,2023,010690,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,020110,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,020120,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,020130,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,020210,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H6,356,2023,020220,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
