NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H4,356,2012,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2012,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H4,356,2012,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2012,010221,     10.00,      5.00,      5.00,      5.00,0,0,0,2,2,2
H4,356,2012,010229,     35.00,      5.00,     30.00,     17.50,0,0,0,2,2,2
H4,356,2012,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2012,010310,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2012,010391,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2012,010392,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2012,010410,     10.00,      5.00,      5.00,      5.00,0,0,0,2,2,2
H4,356,2012,010420,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2012,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010612,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010613,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010614,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010619,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010620,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010631,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010632,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010633,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010639,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,010641,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2012,010649,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2012,010690,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020110,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020120,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020130,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020210,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020220,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020230,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020311,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020312,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020319,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020321,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020322,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020329,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020410,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020421,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020422,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020423,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020430,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020441,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020442,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020443,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020450,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020500,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020610,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020621,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020622,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020629,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020630,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020641,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020649,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020680,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2012,020690,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2012,020711,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020712,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020713,    100.00,    100.00,    100.00,    100.00,0,0,0,1,1,1
H4,356,2012,020714,    100.00,    100.00,    100.00,    100.00,0,0,0,1,1,1
H4,356,2012,020724,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020725,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020726,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020727,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020741,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020742,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020743,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020744,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020745,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020751,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020752,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020753,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020754,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020755,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020760,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020810,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020830,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020840,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020850,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020860,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020890,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2012,020910,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,020990,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,021011,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,021012,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,021019,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,021020,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,021091,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,021092,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,021093,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,021099,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030111,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030119,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030191,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030192,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030193,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030194,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030195,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030199,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030211,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030213,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030214,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030219,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030221,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030222,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030223,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030224,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2012,030229,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
