NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H4,356,2013,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2013,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H4,356,2013,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2013,010221,     10.00,      5.00,      5.00,      5.00,0,0,0,2,2,2
H4,356,2013,010229,     35.00,      5.00,     30.00,     17.50,0,0,0,2,2,2
H4,356,2013,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2013,010310,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2013,010391,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2013,010392,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2013,010410,     10.00,      5.00,      5.00,      5.00,0,0,0,2,2,2
H4,356,2013,010420,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2013,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010612,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010613,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010614,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010619,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010620,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010631,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010632,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010633,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010639,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,010641,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2013,010649,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2013,010690,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020110,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020120,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020130,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020210,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020220,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020230,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020311,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020312,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020319,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020321,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020322,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020329,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020410,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020421,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020422,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020423,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020430,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020441,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020442,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020443,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020450,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020500,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020610,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020621,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020622,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020629,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020630,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020641,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020649,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020680,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2013,020690,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2013,020711,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020712,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020713,    100.00,    100.00,    100.00,    100.00,0,0,0,1,1,1
H4,356,2013,020714,    100.00,    100.00,    100.00,    100.00,0,0,0,1,1,1
H4,356,2013,020724,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020725,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020726,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020727,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020741,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020742,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020743,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020744,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020745,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020751,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020752,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020753,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020754,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020755,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020760,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020810,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020830,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020840,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2013,020850,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
