NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H3,356,2010,010110,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H3,356,2010,010190,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H3,356,2010,010210,     70.00,      5.00,     30.00,     17.50,0,0,0,4,4,4
H3,356,2010,010290,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H3,356,2010,010310,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H3,356,2010,010391,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H3,356,2010,010392,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H3,356,2010,010410,     10.00,      5.00,      5.00,      5.00,0,0,0,2,2,2
H3,356,2010,010420,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H3,356,2010,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010519,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010612,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010619,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010620,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010631,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H3,356,2010,010632,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
