NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,356,2020,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2020,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H5,356,2020,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2020,010221,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2020,010229,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2020,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2020,010310,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010391,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010392,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010410,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2020,010420,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010612,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010613,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010614,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010619,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010620,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010631,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010632,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2020,010633,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
