NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,356,2021,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2021,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H5,356,2021,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2021,010221,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2021,010229,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2021,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2021,010310,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010391,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010392,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010410,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2021,010420,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010612,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010613,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010614,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010619,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010620,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010631,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010632,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010633,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010639,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,010641,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2021,010649,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2021,010690,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020110,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020120,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020130,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020210,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020220,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020230,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020311,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020312,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020319,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2021,020321,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
