NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H4,356,2014,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2014,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H4,356,2014,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2014,010221,     10.00,      5.00,      5.00,      5.00,0,0,0,2,2,2
H4,356,2014,010229,     35.00,      5.00,     30.00,     17.50,0,0,0,2,2,2
H4,356,2014,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2014,010310,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2014,010391,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2014,010392,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2014,010410,     10.00,      5.00,      5.00,      5.00,0,0,0,2,2,2
H4,356,2014,010420,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,356,2014,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2014,010612,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
