NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,356,2019,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H5,356,2019,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,010221,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,010229,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,010310,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010391,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010392,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010410,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,010420,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010612,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010613,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010614,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010619,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010620,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010631,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010632,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010633,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010639,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,010641,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,010649,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,010690,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020110,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020120,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020130,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020210,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020220,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020230,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020311,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020312,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020319,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020321,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020322,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020329,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020410,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020421,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020422,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020423,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020430,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020441,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020442,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020443,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020450,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020500,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020610,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020621,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020622,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020629,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020630,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020641,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020649,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020680,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,020690,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,020711,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020712,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020713,    100.00,    100.00,    100.00,    100.00,0,0,0,1,1,1
H5,356,2019,020714,    100.00,    100.00,    100.00,    100.00,0,0,0,1,1,1
H5,356,2019,020724,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020725,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020726,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020727,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020741,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020742,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020743,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020744,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020745,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020751,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020752,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020753,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020754,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020755,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020760,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020810,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020830,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020840,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020850,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020860,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020890,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2019,020910,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,020990,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,021011,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,021012,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,021019,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,021020,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,021091,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,021092,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,021093,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,021099,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030111,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030119,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030191,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030192,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030193,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030194,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030195,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030199,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030211,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030213,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030214,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030219,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030221,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030222,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030223,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030224,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030229,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2019,030232,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
