NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,356,2017,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2017,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H5,356,2017,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2017,010221,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2017,010229,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2017,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2017,010310,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010391,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010392,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010410,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H5,356,2017,010420,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,356,2017,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
